Start(sec),Duration(nsec),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Thru(MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
13.298779,3232,132,,,,,,,,,,6912,2138.614,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.299213,2144,144,,,,,,,,,,256,119.403,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.299391,16544,156,,,,,,,,,,147456,8912.959,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.299504,2112,168,,,,,,,,,,256,121.212,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.299646,27552,180,,,,,,,,,,294912,10703.833,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.299742,2176,192,,,,,,,,,,512,235.294,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.299939,51712,204,,,,,,,,,,589824,11405.941,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.300060,2176,216,,,,,,,,,,512,235.294,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.300721,103552,232,,,,,,,,,,1179648,11391.842,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.301044,2208,244,,,,,,,,,,1024,463.768,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.301364,345761,256,,,,,,,,,,2359296,6823.488,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.302041,2784,268,,,,,,,,,,1024,367.816,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.302350,351169,280,,,,,,,,,,2359296,6718.406,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.303001,2240,292,,,,,,,,,,1024,457.143,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.303354,346337,304,,,,,,,,,,2359296,6812.140,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.303882,3136,316,,,,,,,,,,1024,326.531,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.304196,943203,328,,,,,,,,,,4718592,5002.732,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.305457,2656,340,,,,,,,,,,2048,771.084,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.306107,2046087,356,,,,,,,,,,9437184,4612.308,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.308552,3200,368,,,,,,,,,,2048,640.000,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.308919,2073542,380,,,,,,,,,,9437184,4551.238,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.311252,2240,392,,,,,,,,,,2048,914.286,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.311924,2063814,408,,,,,,,,,,9437184,4572.691,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.314242,2208,420,,,,,,,,,,2048,927.536,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.314592,2042246,432,,,,,,,,,,9437184,4620.983,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.317029,2368,444,,,,,,,,,,2048,864.865,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
13.317667,2040487,460,,,,,,,,,,9437184,4624.966,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
